gid,role,role_score,cluster_id,priority_score,evidence
100000000011452100,consolidator,0.8104487760652765,0,0.759533423059668,Признаки консолидации: 3 отправителей; вход 110000 KZT; 1 получателей.
100000000018102100,peripheral,0.0,0,0.49136384028712426,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000031787100,transit,0.8997118155619597,1,0.3992956482727681,"Признаки транзита: вход 90000, выход 90000 KZT; выход/вход=1.00. Совпадение сумм не доказывает движение тех же денег."
100000000041368100,terminal,0.7152614082804473,2,0.6844997756841633,Гипотеза конечного получателя: вход 160000 KZT от 1; исходящих 0; глубина 1. Только в пределах выгрузки.
100000000076451100,peripheral,0.0,3,0.7039255271422162,"Недостаточно признаков роли: отправителей 3, получателей 4, достижим из 7 seed."
100000000089154100,distributor,0.9515850144092219,0,0.9510991475998205,Признаки распределения: 15 получателей; выход 425500 KZT; 1 отправителей.
100000000190228100,peripheral,0.0,4,0.6004262000897262,"Недостаточно признаков роли: отправителей 1, получателей 1, достижим из 8 seed."
100000000201868100,transit,0.9262247838616715,5,0.6933826828174069,"Признаки транзита: вход 190000, выход 190000 KZT; выход/вход=1.00. Совпадение сумм не доказывает движение тех же денег."
100000000254336100,peripheral,0.0,0,0.6991700314042171,"Недостаточно признаков роли: отправителей 2, получателей 1, достижим из 7 seed."
100000000267734100,distributor,0.861599423631124,1,0.49862270076267384,Признаки распределения: 7 получателей; выход 282000 KZT; 2 отправителей.
100000000274067100,peripheral,0.0,1,0.5469403319874383,"Недостаточно признаков роли: отправителей 2, получателей 3, достижим из 1 seed."
100000000287768100,terminal,0.6478090057419159,0,0.5862494392104083,Гипотеза конечного получателя: вход 35168 KZT от 1; исходящих 0; глубина 3. Только в пределах выгрузки.
100000000288317100,peripheral,0.0,0,0.766980708838044,"Недостаточно признаков роли: отправителей 2, получателей 3, достижим из 7 seed."
100000000291906100,transit,0.6930092471552927,6,0.8319425751458053,"Признаки транзита: вход 388000, выход 455854 KZT; выход/вход=1.17. Совпадение сумм не доказывает движение тех же денег."
100000000291908100,peripheral,0.0,6,0.7472633467922836,"Недостаточно признаков роли: отправителей 1, получателей 1, достижим из 7 seed."
100000000297649100,peripheral,0.0,7,0.6356437864513235,"Недостаточно признаков роли: отправителей 1, получателей 1, достижим из 8 seed."
100000000299820100,peripheral,0.0,8,0.5058995065051592,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000307908100,terminal,0.5717437292233303,9,0.2035576491700314,Гипотеза конечного получателя: вход 5000 KZT от 1; исходящих 0; глубина 2. Только в пределах выгрузки.
100000000331309100,coordinator,1.0,10,0.9998205473306416,Гипотеза координации: достижим из 7 seed; внешних кластеров 13; отправителей/получателей 5/99.
100000000332284100,coordinator,0.9690444145356661,10,0.9330641543292957,Гипотеза координации: достижим из 7 seed; внешних кластеров 4; отправителей/получателей 10/3.
100000000343175100,coordinator,0.8490275908479138,11,0.9968147151188873,Гипотеза координации: достижим из 7 seed; внешних кластеров 10; отправителей/получателей 8/31. Seed: входящие неполны.
100000000369781100,peripheral,0.0,10,0.4835576491700314,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000375150100,peripheral,0.0,12,0.7205697622252131,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 10 seed. Граница обхода; исходящие неполны."
100000000404740100,peripheral,0.0,13,0.5617541498429789,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000408846100,terminal,0.6540646721063765,14,0.5944593988335576,Гипотеза конечного получателя: вход 40500 KZT от 1; исходящих 0; глубина 3. Только в пределах выгрузки.
100000000413678100,peripheral,0.0,8,0.8509645580978017,"Недостаточно признаков роли: отправителей 2, получателей 3, достижим из 7 seed."
100000000424935100,peripheral,0.0,15,0.5220502467474204,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000425407100,terminal,0.618343910546993,2,0.5447958725886047,Гипотеза конечного получателя: вход 20000 KZT от 1; исходящих 0; глубина 2. Только в пределах выгрузки.
100000000437046100,coordinator,0.9996635262449529,0,0.9985195154777927,Гипотеза координации: достижим из 7 seed; внешних кластеров 7; отправителей/получателей 9/42.
100000000440392100,terminal,0.7003928679359324,16,0.6626962763571108,Гипотеза конечного получателя: вход 105705 KZT от 1; исходящих 0; глубина 1. Только в пределах выгрузки.
100000000456947100,peripheral,0.0,17,0.0,"Недостаточно признаков роли: отправителей 0, получателей 0, достижим из 0 seed. Seed: входящие неполны."
100000000470237100,peripheral,0.0,15,0.5815388066397488,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000481716100,terminal,0.5799032940465397,18,0.4935172723194257,Гипотеза конечного получателя: вход 8000 KZT от 1; исходящих 0; глубина 3. Только в пределах выгрузки.
100000000489417100,consolidator,0.7916817769718949,12,0.7443696724988784,Признаки консолидации: 3 отправителей; вход 73504 KZT; 1 получателей.
100000000490383100,coordinator,0.9047442799461641,16,0.9039255271422162,Гипотеза координации: достижим из 7 seed; внешних кластеров 2; отправителей/получателей 3/8.
100000000500040100,peripheral,0.0,0,0.5447958725886047,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000507799100,peripheral,0.0,19,0.5730372364288919,"Недостаточно признаков роли: отправителей 1, получателей 1, достижим из 7 seed."
100000000533217100,terminal,0.6710184345723784,0,0.6190892777030058,Гипотеза конечного получателя: вход 53587 KZT от 1; исходящих 0; глубина 2. Только в пределах выгрузки.
100000000534581100,peripheral,0.0,8,0.7172723194257514,"Недостаточно признаков роли: отправителей 2, получателей 1, достижим из 7 seed."
100000000542087100,peripheral,0.0,20,0.4944593988335576,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000552584100,peripheral,0.0,21,0.5931179901301031,"Недостаточно признаков роли: отправителей 1, получателей 1, достижим из 2 seed."
100000000555721100,terminal,0.7697793895436688,0,0.6962539255271422,Гипотеза конечного получателя: вход 113000 KZT от 2; исходящих 0; глубина 1. Только в пределах выгрузки.
100000000557536100,peripheral,0.0,20,0.6820771646478241,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000560751100,terminal,0.6305832577818071,12,0.5617541498429789,Гипотеза конечного получателя: вход 25000 KZT от 1; исходящих 0; глубина 3. Только в пределах выгрузки.
100000000561160100,peripheral,0.0,2,0.7064378645132345,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000569479100,terminal,0.7396494409187065,0,0.7225886047554957,Гипотеза конечного получателя: вход 320000 KZT от 1; исходящих 0; глубина 3. Только в пределах выгрузки.
100000000572276100,peripheral,0.0,22,0.3338851502916106,"Недостаточно признаков роли: отправителей 1, получателей 1, достижим из 1 seed."
100000000580561100,peripheral,0.0,23,0.4614176760879318,"Недостаточно признаков роли: отправителей 2, получателей 3, достижим из 0 seed. Seed: входящие неполны."
100000000581662100,peripheral,0.0,24,0.3373530731269628,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 2 seed. Граница обхода; исходящие неполны."
100000000581682100,peripheral,0.0,15,0.4835576491700314,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000583220100,peripheral,0.0,25,0.8340062808434275,"Недостаточно признаков роли: отправителей 1, получателей 1, достижим из 7 seed."
100000000594783100,peripheral,0.0,21,0.5936563481381785,"Недостаточно признаков роли: отправителей 1, получателей 2, достижим из 2 seed."
100000000596954100,peripheral,0.0,2,0.7137056976222521,"Недостаточно признаков роли: отправителей 1, получателей 2, достижим из 10 seed."
100000000600707100,peripheral,0.0,26,0.368026020637057,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 1 seed. Граница обхода; исходящие неполны."
100000000607731100,peripheral,0.0,27,0.38166442350829966,"Недостаточно признаков роли: отправителей 1, получателей 1, достижим из 1 seed."
100000000607941100,peripheral,0.0,16,0.6644908030506953,"Недостаточно признаков роли: отправителей 2, получателей 1, достижим из 7 seed."
100000000608031100,peripheral,0.0,28,0.5772319425751458,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
100000000611474100,terminal,0.6440918706557872,29,0.5811350381336922,Гипотеза конечного получателя: вход 32000 KZT от 1; исходящих 0; глубина 3. Только в пределах выгрузки.
100000000625169100,terminal,0.5894227863402841,22,0.22589950650515928,Гипотеза конечного получателя: вход 10000 KZT от 1; исходящих 0; глубина 2. Только в пределах выгрузки.
100000000627521100,peripheral,0.0,30,0.4893449977568416,"Недостаточно признаков роли: отправителей 1, получателей 0, достижим из 7 seed. Граница обхода; исходящие неполны."
